date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:16:46	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:32%20GMT	http://seeto.no/gem/servlet/getGemObject?id=0	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject.0ff5d.delayed	(from )
16:16:47	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:33%20GMT	http://seeto.no/gem/servlet/getGemObject?id=1	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject681a	(from )
16:16:47	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:33%20GMT	http://seeto.no/gem/servlet/getGemObject?id=3	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject.3d708.delayed	(from )
16:16:47	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:33%20GMT	http://seeto.no/gem/servlet/getGemObject?id=4	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObjectdcfd	(from )
16:16:48	82081/82081	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2020%20Mar%202015%2015:16:33%20GMT	http://seeto.no/gem/servlet/getGemObject?id=2	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/cicer010b30.jpg	(from )
16:16:48	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:34%20GMT	http://seeto.no/gem/servlet/getGemObject?id=5	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObjectd61c	(from )
16:16:48	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:34%20GMT	http://seeto.no/gem/servlet/getGemObject?id=6	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject3a9f	(from )
16:16:49	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:35%20GMT	http://seeto.no/gem/servlet/getGemObject?id=9	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject.95255.delayed	(from )
16:16:49	35270/35270	---MC-	200	added ('OK')	image/jpeg	date:Fri,%2020%20Mar%202015%2015:16:34%20GMT	http://seeto.no/gem/servlet/getGemObject?id=8	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/akd08c3c9.jpg	(from )
16:16:49	0/0	---M--	200	added ('OK')	text/plain	date:Fri,%2020%20Mar%202015%2015:16:35%20GMT	http://seeto.no/gem/servlet/getGemObject?id=11	H:/ProjectFiles/web_root/seetoLoader/seetoloader/seeto.no/gem/servlet/getGemObject0055	(from )
